Date,open_date,Expiry_Date,Open_Price,Current_Price,previous_highest,current_highest,trade_id,parent_id,initial_lots,active_lots,status,RF,HF,TSL,sum_hh_ll,is_crossover
2005-02-14,2005-02-11,2005-04-28,2082.05,2098.25,2082.05,2098.25,5,1.0,3.0,3.0,Open,6.51,6.78,1909.41,1,False
2005-02-14,2005-02-14,2005-04-28,2098.25,2098.25,2098.25,2098.25,6,1.0,2.0,2.0,Open,6.78,0.0,1909.41,0,False
2005-02-14,2005-02-14,2005-04-28,2098.25,2098.25,2098.25,2098.25,7,1.0,6.0,6.0,Open,6.78,0.0,1909.41,0,False
2005-02-15,2005-01-27,2005-04-28,1955.0,2089.95,2098.25,2098.25,1,,10.0,4.0,Open,4.95,37.54,1972.36,6,False
2005-02-15,2005-01-31,2005-04-28,2057.6,2089.95,2098.25,2098.25,2,1.0,2.0,2.0,Open,5.69,34.38,1972.36,5,False
2005-02-15,2005-02-01,2005-04-28,2059.85,2089.95,2098.25,2098.25,3,1.0,2.0,2.0,Open,5.76,27.52,1951.37,4,False
2005-02-15,2005-02-03,2005-04-28,2079.45,2089.95,2098.25,2098.25,4,1.0,2.0,2.0,Open,5.89,27.49,1951.37,4,False
2005-02-15,2005-02-11,2005-04-28,2082.05,2089.95,2098.25,2098.25,5,1.0,3.0,3.0,Open,6.51,6.87,1909.41,1,False
2005-02-15,2005-02-14,2005-04-28,2098.25,2089.95,2098.25,2098.25,6,1.0,2.0,2.0,Open,6.78,6.87,1909.41,1,False
2005-02-15,2005-02-14,2005-04-28,2098.25,2089.95,2098.25,2098.25,7,1.0,6.0,6.0,Open,6.78,6.87,1909.41,1,False
2005-02-16,2005-01-27,2005-04-28,1955.0,2068.8,2098.25,2098.25,1,,10.0,4.0,Open,4.95,38.07,1972.36,6,False
2005-02-16,2005-01-31,2005-04-28,2057.6,2068.8,2098.25,2098.25,2,1.0,2.0,2.0,Open,5.69,34.86,1972.36,5,False
2005-02-16,2005-02-01,2005-04-28,2059.85,2068.8,2098.25,2098.25,3,1.0,2.0,2.0,Open,5.76,27.91,1951.37,4,False
